Calibrated,Energy Transfer,RIXS
11571.75,4.0,3.657845832405917e-07
11572.0,4.25,5.49267882670082e-07
11572.25,4.5,4.2059570102916474e-07
11572.5,4.75,5.481607853521499e-07
11572.75,5.0,4.565552606086824e-07
11573.0,5.25,3.8381569828138293e-07
11573.25,5.5,3.473551973076243e-07
11573.5,5.75,3.4782282681396196e-07
11573.75,6.0,3.110842578299999e-07
11574.0,6.25,1.829415025153908e-07
11574.25,6.5,1.464122948260457e-07
11574.5,6.75,2.197071530680328e-07
11574.75,7.0,1.0969111493924977e-07
11575.0,7.25,1.097353749721775e-07
11575.25,7.5,2.3804813421168454e-07
11575.5,7.75,7.3216001518207e-08
11575.75,8.0,1.46432003036414e-07
11576.0,8.25,1.829661178951695e-07
11576.25,8.5,1.2793856609379432e-07
11576.5,8.75,2.1952980301846893e-07
11576.75,9.0,1.6451455429186848e-07
11577.0,9.25,2.0115446570960052e-07
11577.25,9.5,2.0101929942435017e-07
11577.5,9.75,1.827939492131872e-07
11577.75,10.0,2.0142534433296386e-07
11578.0,10.25,2.561181035215471e-07
11578.25,10.5,1.8286769609963686e-07
11578.5,10.75,2.0118152078232544e-07
11578.75,11.0,2.1967757482987072e-07
11579.0,11.25,3.477292002118586e-07
11579.25,11.5,2.930612474562284e-07
11579.5,11.75,3.1120989767565017e-07
11579.75,12.0,2.379840393990266e-07
11580.0,12.25,2.563940556869575e-07
11580.25,12.5,2.196184422390686e-07
11580.5,12.75,2.5622151594558003e-07
11580.75,13.0,1.462548199189997e-07
11581.0,13.25,1.647803648010246e-07
11581.25,13.5,2.745969685373384e-07
11581.5,13.75,2.013982236456967e-07
11700.5,132.75,1.8249955552233253e-07
11700.7,132.95,3.103742105175523e-07
11700.9,133.15,2.7345572895768195e-07
11701.1,133.35,2.375363403192649e-07
11701.3,133.55,2.014524723254666e-07
11701.5,133.75,2.569130719940161e-07
11701.7,133.95,2.577129908590307e-07
11701.9,134.15,2.0301094014883138e-07
11702.1,134.35,1.6578485090452585e-07
