YEAR,BRAND,PAGE,ENTRY,PRICE,MILES,SHIPPING,dummy,CHEVROLET,FORD,HYUNDAI,TOYOTA,JEEP,VOLKSWAGEN,NISSAN,KIA,BUICK,DODGE,HONDA,GMC,SUBARU,INFINITI,MAZDA,CADILLAC,FIAT,LEXUS,BMW
2015,JEEP,8,17,22400,47206,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,HYUNDAI,8,18,17700,33503,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,GMC,8,19,16200,33516,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2016,CHEVROLET,8,20,14200,15064,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,HONDA,9,1,17500,17892,200,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2017,KIA,9,2,22600,54132,300,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017,BMW,9,3,28500,17513,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,GMC,9,4,18800,34093,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2017,JEEP,9,6,19400,20471,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,TOYOTA,9,7,17900,36023,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,JEEP,9,8,20700,8957,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,CHEVROLET,9,9,12800,39200,300,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,NISSAN,9,10,14500,6198,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2018,FORD,9,12,20300,42081,300,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,DODGE,9,13,21800,57063,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2018,DODGE,9,14,16900,6455,200,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2019,HYUNDAI,9,15,15900,7602,300,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,HYUNDAI,9,16,15900,27274,200,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,CHEVROLET,9,17,17300,26586,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,HYUNDAI,9,18,14300,33540,200,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,NISSAN,9,19,17900,32758,200,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2017,CADILLAC,9,20,26300,29402,300,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013,FORD,10,1,17500,89406,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,BUICK,10,2,16500,21482,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2017,KIA,10,3,12400,40722,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2013,BUICK,10,4,16900,83866,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2018,CHEVROLET,10,5,17700,16997,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,SUBARU,10,6,20600,49914,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2018,DODGE,10,7,17800,17,300,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2017,JEEP,10,8,16700,35779,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,JEEP,10,9,19900,28510,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,JEEP,10,10,21700,12500,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,JEEP,10,11,20900,38696,300,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,CHEVROLET,10,12,16000,46875,200,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,BUICK,10,13,17700,18883,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2017,JEEP,10,14,18300,30730,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,JEEP,10,15,16600,13836,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,DODGE,10,16,16500,14988,300,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2016,JEEP,10,17,19800,42893,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,CHEVROLET,10,18,18500,20107,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,FORD,10,19,16100,24108,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,NISSAN,10,20,16400,25380,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2017,FORD,11,1,20200,14627,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,CHEVROLET,11,2,14900,14026,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,CHEVROLET,11,4,14700,16091,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,HYUNDAI,11,5,18000,25373,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,HYUNDAI,11,6,14500,4309,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,CHEVROLET,11,7,17500,15337,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,FORD,11,8,17000,19903,200,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,CHEVROLET,11,9,15300,41712,200,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,FORD,11,10,18500,18964,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,FORD,11,12,16400,31559,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,CHEVROLET,11,13,18600,23251,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,LEXUS,11,14,21000,54089,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2017,CHEVROLET,11,15,17700,30633,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,DODGE,11,16,20500,20917,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2018,CHEVROLET,11,17,15600,18339,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,VOLKSWAGEN,11,18,18100,29822,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,JEEP,11,19,16100,43485,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,CHEVROLET,11,20,23600,56614,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,JEEP,12,1,25700,36085,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,FORD,12,2,18000,14847,200,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
